300 27235
 1601     1
 5719  4119
 2152   552
 2339   739
13463 11863
 9205  7605
11786 10186
16270 14670
 8157  6557
14619 13019
 3002  1402
14514 12914
 5482  3882
 2090   490
11038  9438
 4033  2433
 7231  5631
11680 10080
10463  8863
13298 11698
10205  8605
15211 13611
10125  8525
 5410  3810
 4928  3328
 9055  7455
11696 10096
10388  8788
12539 10939
 2115   515
 8556  6956
12249 10649
 6641  5041
 7686  6086
 4815  3215
12363 10763
16173 14573
11663 10063
10299  8699
 4019  2419
 3423  1823
 6194  4594
16875 15275
 9482  7882
 4468  2868
13758 12158
10659  9059
17245 15645
 9808  8208
12595 10995
16504 14904
15561 13961
13995 12395
14097 12497
 4025  2425
 9254  7654
14213 12613
 4043  2443
14585 12985
16193 14593
15943 14343
 9051  7451
15290 13690
 8001  6401
 3704  2104
 3823  2223
 2616  1016
 8234  6634
16664 15064
15553 13953
 7247  5647
 7168  5568
 6045  4445
 4228  2628
14857 13257
 8579  6979
 4487  2887
 4858  3258
 4168  2568
16153 14553
11682 10082
16674 15074
17549 15949
 5706  4106
13144 11544
 3855  2255
 9314  7714
11749 10149
 1840   240
 6612  5012
14442 12842
 7871  6271
15463 13863
 9372  7772
 5251  3651
12187 10587
13097 11497
 4822  3222
17173 15573
 9637  8037
 8428  6828
 7437  5837
 4346  2746
12825 11225
 7914  6314
 8917  7317
 7562  5962
 6145  4545
13113 11513
 3681  2081
 7617  6017
 7067  5467
 5128  3528
 9522  7922
 3727  2127
10584  8984
 6392  4792
 8298  6698
10813  9213
12545 10945
 4628  3028
 6335  4735
17527 15927
12149 10549
13551 11951
11658 10058
10234  8634
11661 10061
11609 10009
 9087  7487
 1883   283
13984 12384
 2365   765
 8056  6456
13553 11953
 7202  5602
 7834  6234
 4970  3370
14432 12832
 9447  7847
 4124  2524
 5112  3512
14019 12419
 2694  1094
10838  9238
 4262  2662
11125  9525
13272 11672
 3359  1759
 9894  8294
11772 10172
 5408  3808
 7558  5958
 7374  5774
 9235  7635
15428 13828
 6899  5299
12331 10731
14035 12435
11322  9722
 8795  7195
13487 11887
 8701  7101
12158 10558
 7967  6367
12805 11205
 9062  7462
 6207  4607
14850 13250
 3461  1861
 7295  5695
 8090  6490
 9029  7429
 4035  2435
 8448  6848
 2813  1213
 3937  2337
12482 10882
11441  9841
13742 12142
17505 15905
 2118   518
13781 12181
 9956  8356
 3801  2201
15303 13703
 6835  5235
13331 11731
 5126  3526
 8194  6594
 1858   258
 6469  4869
 4740  3140
 3625  2025
 3952  2352
 4260  2660
 6950  5350
 1850   250
 2831  1231
 9620  8020
 8309  6709
12141 10541
 9693  8093
 3581  1981
 4424  2824
15174 13574
10414  8814
 3622  2022
10621  9021
11851 10251
10680  9080
13117 11517
16977 15377
 6224  4624
 9211  7611
 2419   819
 6881  5281
 3438  1838
16843 15243
10436  8836
 5950  4350
 7058  5458
 7931  6331
 8916  7316
 9127  7527
15025 13425
 2088   488
15861 14261
10213  8613
 3993  2393
 7199  5599
 9669  8069
14152 12552
15843 14243
16364 14764
 4724  3124
15417 13817
17157 15557
 8320  6720
16932 15332
 4476  2876
14212 12612
 3454  1854
 5097  3497
 8325  6725
17094 15494
10146  8546
13808 12208
 6003  4403
 6789  5189
14158 12558
16955 15355
 5037  3437
 3680  2080
 9651  8051
13194 11594
 2328   728
 5515  3915
 1816   216
 9814  8214
17266 15666
16679 15079
 9674  8074
13686 12086
11470  9870
 3629  2029
 7840  6240
16869 15269
 9004  7404
 5379  3779
10666  9066
 9627  8027
 6836  5236
 6577  4977
 3574  1974
11287  9687
12175 10575
 6829  5229
 2302   702
 2174   574
15459 13859
 2130   530
 9009  7409
 6365  4765
 3305  1705
16367 14767
12060 10460
 7563  5963
10028  8428
 8700  7100
 4021  2421
11178  9578
 2399   799
17384 15784
15428 13828
 5964  4364
 9948  8348
 5646  4046
12527 10927
 2737  1137
